"id","mimnumber","pid"
"289","243800","279"
"290","243800","280"
"291","243800","281"
"292","243800","282"
"293","243800","283"
"294","243800","284"
"295","243800","285"
"296","243800","286"
"297","243800","287"
"298","243800","288"
"299","243800","289"
"300","243800","290"
"301","243800","291"
"302","243800","292"
"303","243800","293"
"304","243800","294"
"305","243800","295"
"306","243800","296"
"307","243800","175"
"308","243800","297"
"309","243800","298"
"310","243800","299"
"311","243800","234"
"312","243800","300"
"313","243800","301"
"314","243800","302"
"315","243800","303"
"316","243800","304"
"317","243800","305"
"318","243800","306"
"319","243800","307"
"320","243800","308"
"321","243800","309"
"322","243800","310"
"323","243800","311"
"324","243800","312"
"325","243800","313"
"326","243800","314"
"327","243800","183"
"328","243800","315"
"329","243800","316"
"330","243800","317"
"331","243800","318"
"332","243800","319"
"333","243800","320"
"334","244200","321"
"335","244200","322"
"336","244200","323"
"337","244200","324"
"338","244200","294"
"339","244200","325"
"340","244200","326"
"341","244200","327"
"342","244200","328"
"343","244200","329"
"344","244200","330"
"345","244200","331"
"346","244200","332"
"347","244200","333"
"348","244200","334"
"349","244200","335"
"350","244200","336"
"351","244200","337"
"352","244200","338"
"353","244200","339"
"354","244400","340"
"355","244400","341"
"356","244400","342"
"357","244400","343"
"358","244400","344"
"359","244400","345"
"360","244400","346"
"361","244400","347"
"362","244400","58"
"363","244400","348"
"364","244400","349"
"365","244400","350"
"366","244400","351"
"367","244400","352"
"368","244400","353"
"369","244400","354"
"370","244400","355"
"371","244400","356"
"372","244400","357"
"373","244400","358"
"374","244400","359"
"375","244400","360"
"376","244400","361"
"377","244450","145"
"378","244450","362"
"379","244450","209"
"380","244450","363"
"381","244450","364"
"382","244450","365"
"383","244450","366"
"384","244450","367"
"385","244450","368"
"386","244450","369"
"387","244450","370"
"388","244450","371"
"389","244450","7"
"390","244450","274"
"391","244450","211"
"392","244450","372"
"393","244450","154"
"394","244450","373"
"395","244450","163"
"396","244450","168"
"397","244450","374"
"398","244450","167"
"399","244450","375"
"400","244450","376"
"401","244450","377"
"402","244450","378"
"403","244450","379"
"404","244450","380"
"405","244450","296"
"406","244450","381"
"407","244450","382"
"408","244450","303"
"409","244450","383"
"410","244450","384"
"411","244450","385"
"412","244450","386"
"413","244450","183"
"414","244450","387"
"415","244460","388"
"416","244460","389"
"417","244460","390"
"418","244460","391"
"419","244460","392"
"420","244460","393"
"421","244460","155"
"422","244460","394"
"423","244460","395"
"424","244460","396"
"425","244460","301"
"426","244460","397"
"427","244460","398"
"428","244460","399"
"429","244460","400"
"430","244460","401"
"431","244460","402"
"432","244460","403"
"433","244460","404"
"434","244460","405"
"435","244460","406"
"436","244460","407"
"437","244460","408"
"438","244460","47"
"439","244460","252"
"440","244460","318"
"441","244460","409"
"442","244460","410"
"443","245000","411"
"444","245000","412"
"445","245000","413"
"446","245000","414"
"447","245000","415"
"448","245010","416"
"449","245010","417"
"450","245010","418"
"451","245010","419"
"452","245010","420"
"453","245010","421"
"454","245010","422"
"455","245010","328"
"456","245010","423"
"457","245010","424"
"458","245010","425"
"459","245010","426"
"460","245010","427"
"461","245010","428"
"462","245010","429"
"463","245150","430"
"464","245150","431"
"465","245150","364"
"466","245150","432"
"467","245150","433"
"468","245150","434"
"469","245150","435"
"470","245150","436"
"471","245150","437"
"472","245150","438"
"473","245150","9"
"474","245150","439"
"475","245150","282"
"476","245150","440"
"477","245150","441"
"478","245150","442"
"479","245150","443"
"480","245150","444"
"481","245150","445"
"482","245150","446"
"483","245150","447"
"484","245150","448"
"485","245150","449"
"486","245150","450"
"487","245150","451"
"488","245150","452"
"489","245150","453"
"490","245150","36"
"491","245150","454"
"492","245150","455"
"493","245150","184"
"494","245150","456"
"495","245150","457"
"496","245200","270"
"497","245200","458"
"498","245200","459"
"499","245200","460"
"500","245200","461"
"501","245200","462"
"502","245200","372"
"503","245200","193"
"504","245200","463"
"505","245200","464"
"506","245200","465"
"507","245200","466"
"508","245200","467"
"509","245200","468"
"510","245200","469"
"511","245200","470"
"512","245200","471"
"513","245200","472"
"514","245200","184"
"515","245200","237"
"516","245200","473"
"517","245200","474"
"518","245200","475"
"519","245200","476"
"520","245200","477"
"521","245200","478"
"522","245200","479"
"523","245200","480"
"524","245200","481"
"525","245200","482"
"526","245200","483"
"527","245200","484"
"528","245200","485"
"529","245200","486"
"530","245200","487"
"531","245200","488"
"532","245200","489"
"533","245200","490"
"534","245200","491"
"535","245200","492"
"536","245340","493"
"537","245340","494"
"538","245340","495"
"539","245340","496"
"540","245340","497"
"541","245340","498"
"542","245340","499"
"543","245340","500"
"544","245340","501"
"545","245340","502"
"546","245340","503"
"547","245340","504"
"548","245348","145"
"549","245348","372"
"550","245348","154"
"551","245348","505"
"552","245348","506"
"553","245348","507"
"554","245348","508"
"555","245348","454"
"556","245348","509"
"557","245348","510"
"558","245348","511"
"559","245348","512"
"560","245348","513"
"561","245348","514"
"562","245348","515"
"563","245348","516"
"564","245348","517"
"565","245348","518"
"566","245348","519"
"567","245348","520"
"568","245348","521"
"569","245348","522"
"570","245348","523"
"571","245348","266"
"572","245348","524"
"573","245349","144"
"574","245349","525"
"575","245349","145"
"576","245349","461"
"577","245349","155"
"578","245349","370"
"579","245349","526"
"580","245349","527"
"581","245349","528"
"582","245349","508"
"583","245349","181"
"584","245349","529"
"585","245349","530"
"586","245349","531"
"587","245349","532"
"588","245349","509"
"589","245349","533"
"590","245349","534"
"591","245349","535"
"592","245349","184"
"593","245349","387"
"594","245349","536"
"595","245349","537"
"596","245349","538"
"597","245349","539"
"598","245349","197"
"599","245349","540"
"600","245349","541"
"601","245349","542"
"602","245349","543"
"603","245349","544"
"604","245349","545"
"605","245349","546"
"606","245349","547"
"607","245349","548"
"608","245400","270"
"609","245400","549"
"610","245400","550"
"611","245400","551"
"612","245400","552"
"613","245400","553"
"614","245400","554"
"615","245400","555"
"616","245400","556"
"617","245400","557"
"618","245400","558"
"619","245400","559"
"620","245400","560"
"621","245400","561"
"622","245400","562"
"623","245400","563"
"624","245400","564"
"625","245400","565"
"626","245400","566"
"627","245400","539"
"628","245400","567"
"629","245400","568"
"630","245400","569"
"631","245400","266"
"632","245400","570"
"633","245400","571"
"634","245400","572"
"635","245570","573"
"636","245570","574"
"637","245570","575"
"638","245570","576"
"639","245570","577"
"640","245570","578"
"641","245570","579"
"642","245570","580"
"643","245570","581"
"644","245570","582"
"645","245570","583"
"646","245570","584"
"647","245570","585"
"648","245570","586"
"649","245570","587"
"650","245570","588"
"651","245570","589"
"652","245570","337"
"653","245600","139"
"654","245600","362"
"655","245600","590"
"656","245600","591"
"657","245600","592"
"658","245600","593"
"659","245600","594"
"660","245600","150"
"661","245600","595"
"662","245600","596"
"663","245600","597"
"664","245600","598"
"665","245600","599"
"666","245600","600"
"667","245600","601"
"668","245600","602"
"669","245600","603"
"670","245600","604"
"671","245600","605"
"672","245600","606"
"673","245600","607"
"674","245600","9"
"675","245600","608"
"676","245600","609"
"677","245600","610"
"678","245600","611"
"679","245600","12"
"680","245600","612"
"681","245600","613"
"682","245600","614"
"683","245600","615"
"684","245600","171"
"685","245600","616"
"686","245600","281"
"687","245600","617"
"688","245600","618"
"689","245600","619"
"690","245600","620"
"691","245600","621"
"692","245600","622"
"693","245600","623"
"694","245600","624"
"695","245600","625"
"696","245600","626"
"697","245600","627"
"698","245600","628"
"699","245600","629"
"700","245600","630"
"701","245600","631"
"702","245600","632"
"703","245600","633"
"704","245600","634"
"705","245600","635"
"706","245600","636"
"707","245600","637"
"708","245600","638"
"709","245600","639"
"710","245600","640"
"711","245600","641"
"712","245600","642"
"713","245600","643"
"714","245600","644"
"715","245600","645"
"716","245600","646"
"717","245600","647"
"718","245600","648"
"719","245600","649"
"720","245600","650"
"721","245600","651"
"722","245600","652"
"723","245600","653"
"724","245600","654"
