"gid","name","sequence"
"540","INPP5E","613037.0002"
"541","SLC20A","158378.0001"
"542","CYP27A1","213700.0001"
"543","TMCO1","614123.0001"
"544","PEX1","602136.0001"
"545","PEX2","170993.0001"
"546","PEX3","603164.0001"
"547","PEX5","600414.0002"
"548","PEX6","601498.0003"
"549","PEX12","601758.0001"
"550","PEX14","601791.0001"
"551","PEX26","608666.0002"
"552","ERCC6","133540.0007"
"553","MEOX1","600147.0001"
"554","GDAP1","606589.0001"
"555","MYO5A","160777.0002"
"556","CHS1","606897.0001"
"557","SLC26A3","126650.0001"
"558","CHD7","608892.0001"
"559","AMACR","604489.0001"
"560","PTHR1","168468.0003"
"561","PEX7","601757.0001"
"562","LBR","600024.0003"
"563","COL11A2","120290.0002"
"564","T","601397"
"565","PNPLA6","603197.0004"
"566","ASS","603470.0001"
"567","FIG4","609390.0009"
"568","TMEM67","609884.0013"
"569","CC2D2A","612013.0006"
"570","RPGRIP1L","610937.0011"
"571","ERCC8","609412.0001"
"572","VPS13B","607817.0001"
"573","SALL2","602219.0001"
"574","CNGA3","600053.0001"
"575","C2","613927.0001"
"576","CNNM4","607805.0001"
"577","WDPCP","613580.0005"
"578","PLG","173350.0001"
"579","KERA","603288.0001"
"580","SLC12A6","604878.0001"
"581","HSD11B2","614232.0001"
"582","HRAS","190020.0001"
"583","IFT122","606045.0001"
"584","C12ORF57","615140.0001"
"585","GJA1","121014.0021"
"586","RECQL4","603780.0012"
"587","PAX8","167415.0002"
"588","UGT1","191740.0001"
"589","FRAS1","607830.0001"
"590","FREM2","608945.0001"
"591","INSL3","146738.0001"
"592","GNAS1","139320.0009"
"593","FBLN5","604580.0001"
"594","ALDH18A1","138250.0001"
"595","ATP6V0A2","611716.0001"
"596","CTH","607657.0001"
"597","CFTR","602421.0001"
"598","CRB2","609720.0006"
"599","CTNS","219800.0009"
"600","CTNS","219800.0001"
"601","CTNS","219800.0008"
"602","SLC3A1","104614.0001"
"603","SLC7A9","604144.0001"
"604","SCO1","603644.0001"
"605","LRPPRC","607544.0001"
"606","COX6B1","124089.0001"
"607","COX10","602125.0001"
"608","MTCO1","516030.0004"
"609","MTCO2","516040.0001"
"610","MTCO3","516050.0004"
"611","MTTS1","590080.0003"
"612","MTTL1","590050.0001"
"613","COX15","603646"
"614","C12ORF62","614478.0001"
"615","COX20","614698.0001"
"616","APOPT1","616003.0001"
"617","COA3","614775.0001"
"618","COX8A","123870.0001"
"619","GLYCTK","610516.0001"
"620","SLC22A12","607096.0001"
"621","KIAA0196","610657.0004"
"622","GJB2","121011.0002"
"623","GJB2","121011.0005"
"624","GJB6","604418.0004"
